author;key;affiliation;university_homepage
Brett D. Fleisch;conf/icdcs/Fleisch84;Plymouth State College;http://www.plymouth.edu/
Brett Kessler;conf/acl/KesslerNS97;Universidad Técnica Estatal de Quevedo;http://www.uteq.edu.ec/
Brewster Kahle;journals/cacm/StanfillK86|journals/csys/SchwartzEKN92;Plymouth State College;http://www.plymouth.edu/
Brian A. Barsky;journals/cacm/LiangB83;Augustana University College;http://www.augustana.ab.ca/
Brian A. Coan;journals/ipl/TurpinC84|conf/podc/CoanOK86|conf/podc/CoanL86;Adnan Menderes University;http://www.adu.edu.tr/
Brian A. Haugh;conf/ijcai/Haugh87;University of the West Indies St. Augustine;http://www.uwi.tt/
Brian A. Nejmeh;journals/cacm/Nejmeh88;Bard College;http://www.bard.edu/
Brian A. Nixon;conf/sigmod/NixonCLBMS87|conf/edbt/ChungRNM88|conf/edbt/Nixon94|conf/dbpl/Nixon91|conf/dbpl/NixonM87|journals/tse/MylopoulosCN92|conf/db-workshops/NixonCLBMS85;Adnan Menderes University;http://www.adu.edu.tr/
Brian Allen;journals/jacm/AllenM78;The Cooper Union for the Advancement of Science and Art;http://www.cooper.edu/
Brian Amento;journals/cacm/TerveenHAMC97;Castleton State College;http://www.csc.vsc.edu/
Brian Baker;conf/edbt/Baker96;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/
Brian Becker;conf/sigmod/ClossmanSHKPB98;Perm State Pharmaceutical Academy;http://www.psfa.ru/
Brian Beckman;conf/sosp/JeffersonBWBLHLSTWWYB87;Tabari Institute of Higher Education;http://www.tabari.ac.ir/ 
Brian Berkowitz;conf/sigmod/HammerB80;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/
Brian Boutel;journals/sigplan/HudakPWBFFGHHJKNPP92;Universidade Vale do Rio Doce;http://www.univale.br/
Brian C. Schmult;journals/debu/SchmultJG93;Universitas Negeri Padang;http://www.unp.ac.id/
Brian C. Smith;conf/nossdav/RoweS92|conf/mm/GhiasLCS95;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
Brian C. Twichell;journals/tkde/JenqTK89|conf/icde/JenqTK89|journals/tse/BatoryBGSTTW88;Lincoln University Pennsylvania;http://www.lincoln.edu/
Brian C. Williams;journals/ai/Williams84|journals/ai/KleerW87|conf/ijcai/KleerW89;East Somalia University;http://www.eastsomaliauniversity.com/
Brian Cantwell Smith;conf/lfp/RivieresS84|conf/popl/Smith84;Schiller International University, Paris;http://www.schillerparis.com/
Brian Caulfield;conf/edbt/AntunesBCLS90;Institut National Polytechnique de Grenoble;http://www.inpg.fr/
Brian D. Davison 0001;journals/cacm/HirshBD00;Somaliland University of Technology;http://www.somtech.org/
Brian Dunkel;conf/icde/DunkelS99;University of the West Indies St. Augustine;http://www.uwi.tt/
Brian E. Clark;journals/ibmsj/ClarkC89;Queensland University of Technology;http://www.qut.edu.au/
Brian E. Hart;journals/tkde/BoralACCDFHSV90|conf/dbpl/ValduriezDHBC89|journals/debu/HartVD89|conf/dpds/HartDV88;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
Brian E. Paul;journals/computer/HibbardPSDBV94;Perm State Pharmaceutical Academy;http://www.psfa.ru/
Brian Falkenhainer;conf/aaai/ForbusF90|conf/aaai/ForbusF92;Saybrook Institute;http://www.saybrook.org/
Brian Field;journals/tkde/ZnatiF93|conf/nossdav/FieldZ91;Adnan Menderes University;http://www.adu.edu.tr/
Brian Foote;conf/oopsla/FooteJ89;Symbiosis International University;http://www.siu.edu.in/
Brian Harry;conf/vldb/BernsteinHSSZ97;Symbiosis International University;http://www.siu.edu.in/
Brian Henderson-Sellers;journals/cacm/Henderson-SellersE90;St. Petersburg State Technical University;http://www.unilib.neva.ru/
Brian J. Cragun;journals/ijmms/CragunS87;Klaipeda University;http://www.ku.lt/
Brian J. Donlan;journals/computer/McDonaldGSDB87;Ecole Supérieure de Commerce de Toulouse;http://www.esc-toulouse.fr/
Brian J. Peterson;conf/krdb/PetersonAE98;University of the Air;http://www.u-air.ac.jp/
Brian J. Read;conf/ssdbm/Read86;Brunel University Uxbridge;http://www.brunel.ac.uk/
Brian J. Reiser;conf/ijcai/ReiserAF85;American University of Beirut;http://www.aub.edu.lb/
Brian K. Reid;conf/popl/Reid80;Tokyo Dental College;http://www.tdc.ac.jp/
Brian Knight;conf/er/Knight83;University of Kalyani;http://www.klyuniv.ac.in/
Brian Lazell;conf/tdb/DaviesLHC95;Al al-Bayt University;http://www.aabu.edu.jo/
Brian Lent;conf/icde/LentSW97|conf/kdd/JohnL97|conf/kdd/LentAS97;University of Leeds;http://www.leeds.ac.uk/
Brian Lings;journals/debu/BerndtssonL92|journals/ijcis/BerndtssonCL97;Universidad de Monterrey;http://www.udem.edu.mx/
Brian Livezey;conf/sosp/WeinsteinPLP85|conf/kdd/SimoudisLK94;Universidad Técnica Estatal de Quevedo;http://www.uteq.edu.ec/
Brian Lowe;conf/dasfaa/LoweZS95|conf/adc/Arnold-MooreFLTW95;Quantum-Veritas International University;http://www.qvius.edu/
Brian M. Oki;conf/sigmod/TerryGNO92|journals/cacm/GoldbergNOT92|conf/podc/OkiL88|conf/podc/CoanOK86|conf/sosp/OkiLS85|conf/sosp/OkiPSS93;California Institute of Integral Studies;http://www.ciis.edu/
Brian Marsh;conf/usenix/DouglisKM94;Mohammad Ali Jinnah University, Karachi;http://www.jinnah.edu/
Brian Meckler;conf/sigmod/GoyalHKMSZ97|conf/sigmod/GoyalHKMS96;Lancaster University Ghana;http://www.lancaster.edu.gh/
Brian Milnes;conf/lfp/BiagioniHLM94;Pamir University;http://www.pamir.edu.af/
Brian N. Bershad;journals/spe/BershadLL88|journals/tse/BershadCLSS87|journals/tocs/BershadALL90|conf/usenix/BershadP88|conf/sosp/BershadSPSFBCE95|conf/sosp/ChenB93|conf/sosp/BershadALL89|conf/ppopp/BershadLLW88|conf/asplos/RomerLVWWBBL96|conf/asplos/BershadRE92;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Brian N. Wylie;journals/jiis/DavidsonHJMW98;Ecole Centrale de Lyon;http://www.ec-lyon.fr/
Brian Noble;journals/sigops/SatyanarayananNKP95|conf/sosp/NobleSNTFW97;Universidad Nacional del Nordeste;http://www.unne.edu.ar/
Brian P. McCune;journals/tse/McCuneTDS85;Université Chrétienne Bilingue du Congo;http://www.ucbc.org/
Brian Phillips;conf/ijcai/Phillips83;Michigan School of Professional Psychology;http://www.mispp.edu/
Brian R. Gaines;journals/tkde/GainesC93|journals/tkde/GainesS93|journals/ijmms/ShawG87|journals/ijmms/GainesS80|journals/ijmms/Gaines87|conf/ijcai/GainesS89;Fachhochschule St. Gallen;https://www.fhsg.ch/
Brian Randell;journals/spe/BrownbridgeMR82|journals/csur/HorningR73|journals/csur/RandellLT78|journals/tse/Randell75|conf/ldrs/Melliar-SmithR77|conf/ac/Randell78|conf/srds/RandellD86;University of Agriculture Makurdi;http://www.uam.edu.ng/
Brian Rogoff;conf/spieSR/GuibasRT95;St. Petersburg State Technical University;http://www.unilib.neva.ru/
Brian S. Eberman;conf/ideas/VriesEK98;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/
Brian S. Hubbard;conf/icde/HenningHW87;University of the Air;http://www.u-air.ac.jp/
Brian Starr;journals/aim/AckermanBGHKKKLLMOPSSY97;Ecole Nationale Vétérinaire d'Alfort;http://www.vet-alfort.fr/
Brian Summers;journals/sigmod/GruenwaldBDGSSV99;Moscow Power Engineering Institute (Technical University);http://www.mpei.ac.ru/
Brian T. Bartell;conf/sigir/BartellCB94;Sultan Idris Shah Polytechnic;http://www.psis.edu.my/
Brian T. Tran;conf/icde/ReinwaldPKLTV99|conf/vldb/ChenCFGJMTW99|conf/vldb/FuhDCMTLDRM99;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/
Brian W. Kernighan;journals/spe/AhoKW79|journals/jacm/Kernighan71;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
Brian W. Thomson;conf/oopsla/LewisGFT86;Athenaeum of Ohio;http://www.mtsm.org/
Brian W. Unger;journals/tocs/JoyceLSU87;Universidade Vale do Rio Doce;http://www.univale.br/
Brian Warboys;conf/er/Warboys94;University of East Srarajevo;http://www.unssa.rs.ba/
Brian Wilkerson;conf/oopsla/Wirfs-BrockW88|conf/oopsla/Wirfs-BrockW89;Southeastern Oklahoma State University;http://www.sosu.edu/
Brian Wilson;conf/cscw/HaakeW92;Michigan School of Professional Psychology;http://www.mispp.edu/
Brian Witten;journals/cacm/DurstCWMS99;Reformed Theological Academy of Debrecen;http://www.drk.hu/
Brigitte Jaumard;conf/ijcai/HansenJNA95;Institut National Polytechnique de Grenoble;http://www.inpg.fr/
Brigitte Kerhervé;conf/edbt/DrioucheGKGLN88;Sonoda Women's University;http://www.sonoda-u.ac.jp/
Brigitte Kröll;conf/sigmod/KrollW94;Castleton State College;http://www.csc.vsc.edu/
Brigitte Plateau;journals/tse/CoffmanGP81;Université Protestante au Congo;http://www.upc.ac.cd/
Brigitte Röck;journals/tois/GottlobSR96;Tashkent Medical Academy;http://www.tma.uz/
Brigitte Verdonk;conf/edbt/SaccaVV92|conf/caise/AhlsenDJLLRRSTBCSVVV91;Universitas Siliwangi;http://www.unsil.ac.id/
Brinkley Sprunt;journals/rts/SpruntSL89;American University in Dubai;http://www.aud.edu/
Brom Mahbod;conf/icde/BeechM88|journals/tois/FishmanBCCCDDHKLMNRS87;"Academy of Economics ""Dimitur A. Tscenov""";http://www.uni-svishtov.bg/
Bruce A. Burton;journals/software/BurtonABKM87;Dai Ichi University, College of Technology;http://www.daiichi-koudai.ac.jp/
Bruce A. Draper;journals/computer/BrolioDBH89;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
Bruce A. MacDonald;journals/ijmms/WittenM88;Kanazawa University;http://www.kanazawa-u.ac.jp/
Bruce A. Mah;conf/nossdav/BanerjeaM91;Universidad Nacional del Nordeste;http://www.unne.edu.ar/
Bruce A. Shapiro;conf/sigmod/WangCMSSZ94;Bundelkhand University;http://www.bundelkhanduniversity.org/
Bruce Abramson;journals/tkde/AbramsonN93|conf/acm/NgA90;Chongqing University of Communications;http://www.cquc.edu.cn/
Bruce B. Johnson;journals/aim/FeigenbaumFJNSSE94;Fontbonne College;http://www.fontbonne.edu/
Bruce Bargmeyer;journals/sigmod/FowlerPNB99;Ecole Nationale Supérieure du Pétrole et des Monteurs;http://www.ifp.fr/EC/EC000GP1.html
Bruce Bullis;conf/oodbs/OBrienBS86|conf/oopsla/SchaffertCBKW86;Sree Rama Krishna Degree College;http://www.srkdc.org/
Bruce C. Huang;conf/icde/GendranoHRMS99;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Bruce Campbell;conf/er/Campbell98;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Bruce Cottman;journals/debu/HiggsC98;Universidade Estadual de Maringá;http://www.uem.br/
Bruce D. Kyle;journals/tse/MyersMMFFKMKD97;American-European School of Management ;http://www.aesom.com/
Bruce D. Parrello;conf/sigmod/LuskOP80|journals/dke/ParrelloOL85;University of the West Indies St. Augustine;http://www.uwi.tt/
Bruce E. Martin;conf/icde/BurkhardMP87|conf/sigmod/Martin94|conf/vldb/MartinC94|journals/computer/MartinPB91|conf/oodbs/MartinP92;Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/
Bruce Evans;conf/icde/OshikaEMT88;Universidad Agroforestal Fernando A.Meriño;http://www.uafam.edu.do/
Bruce F. Duba;conf/lfp/KohlbeckerFFD86;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Bruce G. Buchanan;journals/ai/DavisBS77|journals/ai/FeigenbaumB93|journals/ai/BuchananF78|journals/ai/LindsayBFL93|journals/ac/BuchananD83|journals/tse/SchoenSB88|conf/ijcai/SmithMCB77|conf/ijcai/FuB85;Universidade Vale do Rio dos Sinos;http://www.unisinos.br/
Bruce G. Lindsay 0001;journals/tkde/HaasCLMWLLPCS90|journals/tods/MohanLO86|journals/tods/TraigerGGL82|journals/tods/MohanHLPS92|journals/cacm/LohmanLPS91|journals/csur/GrayMBLLPPT81|conf/icde/MitschangPPLS93|conf/icde/DeMichielCLAA93|conf/sigmod/LindsayMP87|conf/sigmod/RajagopalanML98|conf/sigmod/LindsayHM86|conf/sigmod/WilmsLS83|conf/sigmod/SalemBCL00|conf/sigmod/MankuRL99|conf/sigmod/Carey00|conf/vldb/WidomCL91|conf/vldb/AdibaL80|conf/vldb/ShanmugasundaramSBCLPR00|conf/vldb/LehmanL89|conf/vldb/FuhDCMTLDRM99|conf/vldb/AgrawalCL91|conf/vldb/BertinoHL83|conf/vldb/CareySLLM90|conf/edbt/PiraheshMSL94|journals/sigmod/Garcia-MolinaL90|journals/sigmod/BernsteinDDGGJLLMNRRSSSS89|journals/sigmod/StonebrakerRLGCBBB90|journals/cacm/ChamberlinABGKLLMPPSSSTWY81|journals/is/PiraheshMSL94|journals/debu/Garcia-MolinaL90|journals/debu/HaasSBDLLMMNWY82|journals/ibmsj/BlasgenACGKLLMPPSSSSTWY81|journals/pieee/Lindsay87|journals/computer/AstrahanBCGKLLMPPSSSSTTWY79|journals/tocs/LindsayHMWY84|conf/ddb/DanielsSHLMWW82|conf/berkeley/Lindsay81|conf/ddss/WilmsL81|conf/podc/MohanL83|conf/sigmod/StonebrakerRLGCB90|conf/ds/StonebrakerRLGCBBB90|conf/ibm/LindsayH90|conf/sosp/LindsayHMWY83|conf/jcdkb/WilliamsDHLLNOSWWY82|conf/oopsla/AgrawalDL91;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/
Bruce Galler;journals/cacm/ZahorjanSEG82;Tokyo University of Agriculture and Technology;http://www.tuat.ac.jp/
Bruce H. Barnes;journals/software/BarnesB91;Wuhan University;http://www.whu.edu.cn/
Bruce H. McCormick;journals/computer/DeFantiBM89;Universidade Vale do Rio dos Sinos;http://www.unisinos.br/
Bruce Hahn;journals/cacm/Hahn74;"Academy of Economics ""Dimitur A. Tscenov""";http://www.uni-svishtov.bg/
Bruce Hendrickson;journals/jiis/DavidsonHJMW98;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Bruce Hillyer;conf/icde/HillyerRS99|conf/sigmod/HillyerS96|journals/debu/ShawSIHWA81|journals/tse/HillyerSN86|conf/sigmetrics/HillyerS96;Shoreline Community College;http://www.shoreline.edu/
Bruce I. Blum;conf/sigmod/BlumS90;Adnan Menderes University;http://www.adu.edu.tr/
Bruce J. McKenzie;journals/spe/McKenzieHB90;California Institute of Integral Studies;http://www.ciis.edu/
Bruce J. Walker;journals/cacm/WalkerKP80|journals/tse/ParkerPRSWWCEKK83|conf/berkeley/ParkerPRSWWCEKK81|conf/sosp/PopekWCERT81|conf/sosp/WalkerPEKT83;Universidad Privada Boliviana;http://www.upb.edu/
Bruce Jay Nelson;journals/tocs/BirrelN84|conf/sosp/BirrellN83;Bard College;http://www.bard.edu/
Bruce Krulwich;journals/internet/Krulwich97|conf/aaai/KrulwichB96|conf/ngits/Krulwich95;Dayalbagh Educational Institute;http://www.dei.ac.in/
Bruce L. Worthington;journals/computer/GangerWHP94|conf/sigmetrics/WorthingtonGPW95|conf/sigmetrics/WorthingtonGP94;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Bruce Leasure;conf/popl/KuckKPLW81;Catholic University of Pusan;http://www.cup.ac.kr/
Bruce Leban;conf/icde/MossLC87|conf/aaai/LebanMF86;Harding University Graduate School of Religion;http://www.hugsr.edu/
Bruce Lo;conf/sigmod/AvnurHLORRRW98; Huaihua University;http://www.hhu.edu.cn/
Bruce Lowther;journals/computer/ColemanALO94;University of Benin;http://www.uniben.edu/
Bruce M. Horowitz;conf/icde/Horowitz92|conf/ride/Horowitz94;Plymouth State College;http://www.plymouth.edu/
Bruce M. Maggs;conf/spaa/BlellochLMPSZ91;Western Bible College;http://www.westernbible.edu/
Bruce Mann;conf/sigmod/BernsteinHM90;College of St. Elizabeth;http://www.st-elizabeth.edu/
Bruce McNutt;journals/ibmrd/McNutt94;Université Hassan Ier - Settat;http://www.uh1.ac.ma/
Bruce R. Howarth;conf/pdis/LinnH94;Université Hassan Ier - Settat;http://www.uh1.ac.ma/
Bruce R. Montague;journals/csys/LongM94;Zaporizhzhe National University;http://www.znu.edu.ua/
Bruce R. Schatz;conf/icde/SchatzC89|journals/jasis/ChenMKNS98|conf/dl/SchatzJCC96;Da-Yeh University;http://www.dyu.edu.tw/
Bruce Schneider;conf/edbt/AndersonBMPS90;Bundelkhand University;http://www.bundelkhanduniversity.org/
Bruce Schuchardt;journals/tois/PurdySM87|conf/pos/BretlOSSV98;Long Island University, Southampton College;http://www.southampton.liunet.edu/
Bruce Smith;conf/slp/Smith84;Chiang Mai Vocational College;http://www.cmvc.ac.th/
Bruce W. Arden;conf/isca/ArdenG81;Tyumen State University;http://www.tsu.tmn.ru/
Bruce W. Ballard;journals/tois/BallardLT84;Saybrook Institute;http://www.saybrook.org/
Bruce W. Char;journals/jsc/CharFGGM86;Cyberjaya University College of Medical Science;http://www.cybermed.edu.my/
Bruce W. Irish;conf/aaai/ParunakKI87;Japan Advanced Institute of Science and Technology;http://www.jaist.ac.jp/
Bruce W. Porter;journals/ai/PorterBH90|journals/ijmms/BareissPW88|conf/ijcai/HolteAP89;Somaliland University of Technology;http://www.somtech.org/
Bruce W. Weide;journals/csur/Weide77|journals/toms/BentleyWY80;Sonoda Women's University;http://www.sonoda-u.ac.jp/
Bruna Zonta;conf/er/CastanoAZ92|conf/er/AntonellisAMZ79|conf/vldb/AntonellisZ81|journals/tse/AntonellisZ90;Al al-Bayt University;http://www.aabu.edu.jo/
Bruno Alabiso;conf/oopsla/Alabiso88;Athenaeum of Ohio;http://www.mtsm.org/
Bruno Becker;journals/vldb/BeckerGOSW96|conf/sigmod/BeckerSW91|journals/jal/BeckerFGLOW96|conf/ssd/BeckerGOSW93|conf/stacs/BeckerFGOTW92;Hanover College;http://www.hanover.edu/
Bruno Blanchet;conf/pldi/BlanchetCCFMMMR03;Mohammad Ali Jinnah University, Karachi;http://www.jinnah.edu/
Bruno Buchberger;journals/jsc/Buchberger87;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Bruno Carpentieri;conf/dcc/CarpentieriS92;University of the Air;http://www.u-air.ac.jp/
Bruno Ciciani;journals/tkde/CicianiDY90|journals/tse/CicianiDY92;East Somalia University;http://www.eastsomaliauniversity.com/
Bruno Courcelle;journals/iandc/Courcelle90|journals/iandc/CourcelleD88|journals/tcs/CourcelleM93|journals/tcs/Courcelle83|journals/tcs/Courcelle87|journals/tcs/Courcelle91|journals/tcs/Courcelle94|conf/icalp/CourcelleKV74;Universidad del Magdalena;http://www.unimagdalena.edu.co/
Bruno Defude;conf/sigir/DamierD88|conf/sigir/ChiaramellaDBK86|conf/cikm/MartinAD92;Long Island University, Southampton College;http://www.southampton.liunet.edu/
Bruno Legeard;conf/plilp/LegeardL91;Universitas Siliwangi;http://www.unsil.ac.id/
Bruno Poyet;journals/sigmod/BorrasMPPT92;Ecole Nationale Supérieure du Pétrole et des Monteurs;http://www.ifp.fr/EC/EC000GP1.html
Bruno Rochat;journals/tr/MullerBPR96;Hamdan Bin Mohammed e-University;http://www.hbmeu.ac.ae/
Bruno Schienmann;conf/er/OrtnerS96;Karlshochschule International University;http://www.karlshochschule.de/
Bruno Tessier;conf/vldb/AbiteboulAAACHHMMMMSTV99;Logan College of Chiropractic;http://www.logan.edu/
Bryan Alvey;conf/sigir/AnickBFHAR90;Bundelkhand University;http://www.bundelkhanduniversity.org/
Bryan Black;journals/cacm/PaulABS91;American-European School of Management ;http://www.aesom.com/
Bryan M. Kramer;conf/ai/KramerMBCAO96;Symbiosis International University;http://www.siu.edu.in/
Bryan Reagan;conf/icde/ZhangYRN95;Czech Technical University of Prague;http://www.cvut.cz/
Bryan W. Scotney;journals/expert/AnandSTMBHM97;Universitas Siliwangi;http://www.unsil.ac.id/
Bryant L. Poole;journals/tkde/ChenP94;Jones College;http://www.jones.edu/
Bryant W. York;journals/tse/WellerY84;Jishou University;http://www.jsu.edu.cn/
Bryce Allen;conf/sigir/Allen94;East Somalia University;http://www.eastsomaliauniversity.com/
Bryon K. Ehlmann;conf/icde/EhlmannR97|conf/ssdbm/EhlmannRD92|conf/adb/EhlmannR94;Fontbonne College;http://www.fontbonne.edu/
Bud Mishra;conf/popl/AnantharamanCFM85;University of Ghana;http://www.ug.edu.gh/
Budi Yuwono;journals/tkde/YuwonoL96|conf/icde/YuwonoL96|conf/dasfaa/YuwonoL97;Dai Ichi University, College of Technology;http://www.daiichi-koudai.ac.jp/
Buh-Yun Sher;conf/pakdd/SherSH98;Tokyo Dental College;http://www.tdc.ac.jp/
Buhyun Hwang;conf/dasfaa/YunH93;University of Adelaide;http://www.adelaide.edu.au/
Bui Tuong Phong;journals/cacm/Phong75;Chung-Ang University;http://www.cau.ac.kr/
Burkhard Freitag;conf/er/SussF99|conf/dasfaa/FreitagSMZ95|conf/dasfaa/FreitagSS91|conf/idl/FreitagMS94|conf/jcdkb/FreitagB88|conf/caise/Freitag94|conf/deductive/SpechtF93;Al al-Bayt University;http://www.aabu.edu.jo/
Burkhard Wrenger;conf/cia/StaabBBDHKNPPSSUW99;Fachhochschule Düsseldorf;http://www.fh-duesseldorf.de/
Burt M. Leavenworth;conf/er/Leavenworth81;Jishou University;http://www.jsu.edu.cn/
Burton H. Bloom;journals/cacm/Bloom70;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Burton Rosenberg;conf/icalp/ChazelleR92|conf/compgeom/ChazelleR89;Johannes-Gutenberg Universität Mainz;http://www.uni-mainz.de/
Butler W. Lampson;conf/vldb/LampsonL93|journals/acta/LondonGHLMP78|journals/cacm/Lampson73|journals/cacm/LampsonR80|journals/toplas/AbadiBLP93|conf/podc/Lampson86|conf/ac/Lampson80|conf/ac/KimbletonWL80|conf/sosp/LampsonS79|conf/sp/BirrellLNS86;American-European School of Management ;http://www.aesom.com/
Byoung Dae Park;conf/sigmod/ParkKKLPC98;Halmstad University College;http://www.hh.se/
Byoung Mo Im;conf/dasfaa/ImKY97|conf/pdis/ChoiIKL94;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/
Byoung-Kee Yi;conf/icde/YiJF98;University of Perugia;http://www.unipg.it/
Byron Cook;journals/cacm/CookPR11;Belarussian State Technological University;http://www.bstu.unibel.by/
Byron Dom;journals/vldb/ChakrabartiDAR98|conf/sigmod/ChakrabartiDI98|conf/vldb/ChakrabartiBD99|conf/vldb/ChakrabartiDAR97|conf/vldb/ChakrabartiSD98|journals/cn/ChakrabartiBD99|journals/cn/ChakrabartiDRRGK98|journals/computer/FlicknerSAHDGHLPSY95|conf/spieSR/NiblackZHBPPFUNSDYSZP98;Universidade Vale do Rio dos Sinos;http://www.unisinos.br/
Byung C. Kim;conf/ssdbm/AhnJKLK90;Cyberjaya University College of Medical Science;http://www.cybermed.edu.my/
Byung Suk Lee;journals/tkde/LeeW94|journals/vldb/LeeW94;Bard College;http://www.bard.edu/
Béatrice Finance;conf/icde/FinanceG91|conf/edbt/FankhauserFK96|conf/adbis/BielikovaFN97|journals/dke/FinanceG94|conf/dood/FinanceSF95|conf/coopis/RamfosFFS95|conf/adc/FessyF93;Blessing-Rieman College of Nursing;http://www.brcn.edu/
Béatrice Rumpler;conf/adbis/CalabrettoR97|conf/adbis/RumplerC97;Universidad Tecnologica de la Mixteca;http://www.utm.mx/
Béchir el Ayeb;journals/tkde/Ayeb94|conf/ijcai/AyebW93;Panteios University of Economics and Political Sciences Athens;http://www.panteion.gr/
Béla Bollobás;conf/compgeom/BollobasDGM97;Fachhochschule Düsseldorf;http://www.fh-duesseldorf.de/
Börje Langefors;journals/is/Langefors78|journals/is/Langefors80|conf/ifip/Langefors74;Moody Bible Institute;http://www.moody.edu/
Bülent Abali;journals/ibmsj/StunkelSAABGHJNSSTV95;Ibaraki Prefectural University of Health Sciences;http://www.ipu.ac.jp/
C. A. Petri;conf/ac/Petri75;Lancaster University Ghana;http://www.lancaster.edu.gh/
C. A. R. Hoare;journals/acta/HoareL74|journals/acta/Hoare72|journals/acta/HoareW73|journals/cacm/Hoare74|journals/cacm/Hoare83|journals/cacm/Hoare69|journals/cacm/Hoare78|journals/jacm/BrookesHR84|journals/cj/Hoare62|journals/computer/Hoare87;California Institute of Integral Studies;http://www.ciis.edu/
C. Andrew Neff;conf/focs/Neff90;University of Leeds;http://www.leeds.ac.uk/
C. Baldissera;conf/vldb/BaldisseraCPB79;University of Perugia;http://www.unipg.it/
C. Billi;conf/mfdbs/AsirelliBI89;Gordon Conwell Theological Seminary;http://www.gcts.edu/
C. Brian Pinkerton;conf/usenix/BershadP88;Universität Hildesheim;http://www.uni-hildesheim.de/
C. C. Chang;journals/csur/YuC84|conf/sigmod/YuC83|journals/cacm/Chang84|conf/berkeley/YuLCC82;Lyceum of the Philippines University;http://www.lpu.edu.ph/
C. C. Devor;conf/pacific/DevorW80;University of Lucknow;http://www.lucknowuniv.org/
C. C. Gotlieb;journals/tods/BatoryG82|journals/tods/GargG86|conf/vldb/Gotlieb80|journals/acta/GotliebT74|journals/jacm/GotliebM73|journals/jacm/GotliebK68;National Institute of Technology, Trichy;http://www.nitt.edu/
C. C. Marshall;conf/icail/Marshall89;University of the Air;http://www.u-air.ac.jp/
C. Cordell Green;journals/cacm/ClarkG77|journals/computer/BalzerCG83|conf/icse/Green76;Quantum-Veritas International University;http://www.qvius.edu/
C. D. Bishop;conf/vldb/BenneworthBTHM81;Florida Christian College;http://www.fcc.edu/
C. Del Gracco;journals/debu/SaccaDMPGN87;Osaka University;http://www.osaka-u.ac.jp/
C. Ducateau;conf/er/BriandDHHK87;Université d'Aix-Marseille III;http://www.u-3mrs.fr/
C. E. Price;journals/csur/Price71;Université Protestante au Congo;http://www.upc.ac.cd/
C. E. Veni Madhavan;journals/tods/GopalakrishnaM80;Université Chrétienne Bilingue du Congo;http://www.ucbc.org/
C. Frank Starmer;conf/icde/Starmer84;Bard College;http://www.bard.edu/
C. Franklin Boyle;conf/ijcai/AndersonBY85;Universität Fridericana Karlsruhe (Technische Hochschule);http://www.uni-karlsruhe.de/
C. G. Hoch;journals/tois/FishmanBCCCDDHKLMNRS87;Jones College;http://www.jones.edu/
C. Greg Plaxton;journals/jcss/CypherP93|conf/soda/KorupoluPR98|conf/spaa/BlellochLMPSZ91;University of Wisconsin - Stout;http://www.uwstout.edu/
C. Gregory Doherty;conf/sigmod/Doherty98;COMSATS Institute of Information Technology, Lahore;http://www.ciitlahore.edu.pk/
C. Guglielmina;journals/dke/BertinoG93|conf/ride/BertinoG92;Université Chrétienne Bilingue du Congo;http://www.ucbc.org/
C. Gupta;conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99;Klaipeda University;http://www.ku.lt/
C. H. Chen;conf/sigmod/YuC85|conf/vldb/YuSLC83|journals/tse/YuSLC85;California Institute of Integral Studies;http://www.ciis.edu/
C. H. Kung;conf/cris/KungS86;Université Gaston Berger Saint-Louis;http://www.ugb.sn/
C. H. Li;conf/icse/KuoLR82;Kyoritsu Woman's University;http://www.kyoritsu-wu.ac.jp/
C. H. Lindsey;journals/acta/WijngaardenMPKSLMF75;Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/
C. I. Ezeife;journals/dpd/EzeifeB95;Osaka University;http://www.osaka-u.ac.jp/
C. Icdem;conf/coopis/DogacTTETHIB00;Karwan Institute of Higher Education;http://www.karwan.edu.af/
